updateDate,code,code_name
2018-11-26,sh.600317,营口港
2018-11-26,sh.600325,华发股份
2018-11-26,sh.600329,中新药业
2018-11-26,sh.600335,国机汽车
2018-11-26,sh.600338,西藏珠峰
2018-11-26,sh.600348,阳泉煤业
2018-11-26,sh.600350,山东高速
2018-11-26,sh.600366,宁波韵升
2018-11-26,sh.600380,健康元
2018-11-26,sh.600388,龙净环保
2018-11-26,sh.600392,盛和资源
2018-11-26,sh.600393,粤泰股份
2018-11-26,sh.600395,盘江股份
2018-11-26,sh.600409,三友化工
2018-11-26,sh.600410,华胜天成
2018-11-26,sh.600416,湘电股份
2018-11-26,sh.600418,江淮汽车
2018-11-26,sh.600422,昆药集团
2018-11-26,sh.600426,华鲁恒升
2018-11-26,sh.600428,中远海特
2018-11-26,sh.600435,北方导航
2018-11-26,sh.600458,时代新材
2018-11-26,sh.600460,士兰微
2018-11-26,sh.600466,蓝光发展
2018-11-26,sh.600478,科力远
2018-11-26,sh.600481,双良节能
2018-11-26,sh.600499,科达洁能
2018-11-26,sh.600500,中化国际
2018-11-26,sh.600503,华丽家族
2018-11-26,sh.600511,国药股份
2018-11-26,sh.600517,置信电气
2018-11-26,sh.600521,华海药业
2018-11-26,sh.600525,长园集团
2018-11-26,sh.600528,中铁工业
2018-11-26,sh.600536,中国软件
2018-11-26,sh.600545,卓郎智能
2018-11-26,sh.600557,康缘药业
2018-11-26,sh.600563,法拉电子
2018-11-26,sh.600565,迪马股份
2018-11-26,sh.600572,康恩贝
2018-11-26,sh.600575,皖江物流
2018-11-26,sh.600578,京能电力
2018-11-26,sh.600580,卧龙电气
2018-11-26,sh.600582,天地科技
2018-11-26,sh.600584,长电科技
2018-11-26,sh.600594,益佰制药
2018-11-26,sh.600597,光明乳业
2018-11-26,sh.600598,北大荒
2018-11-26,sh.600600,青岛啤酒
2018-11-26,sh.600611,大众交通
2018-11-26,sh.600614,鹏起科技
2018-11-26,sh.600618,氯碱化工
2018-11-26,sh.600623,华谊集团
2018-11-26,sh.600633,浙数文化
2018-11-26,sh.600635,大众公用
2018-11-26,sh.600639,浦东金桥
2018-11-26,sh.600640,号百控股
2018-11-26,sh.600642,申能股份
2018-11-26,sh.600643,爱建集团
2018-11-26,sh.600645,中源协和
2018-11-26,sh.600648,外高桥
2018-11-26,sh.600649,城投控股
2018-11-26,sh.600651,飞乐音响
2018-11-26,sh.600655,豫园股份
2018-11-26,sh.600657,信达地产
2018-11-26,sh.600664,哈药股份
2018-11-26,sh.600673,东阳光科
2018-11-26,sh.600687,刚泰控股
2018-11-26,sh.600694,大商股份
2018-11-26,sh.600717,天津港
2018-11-26,sh.600718,东软集团
2018-11-26,sh.600729,重庆百货
2018-11-26,sh.600737,中粮糖业
2018-11-26,sh.600743,华远地产
2018-11-26,sh.600748,上实发展
2018-11-26,sh.600750,江中药业
2018-11-26,sh.600751,海航科技
2018-11-26,sh.600754,锦江股份
2018-11-26,sh.600755,厦门国贸
2018-11-26,sh.600757,长江传媒
2018-11-26,sh.600759,洲际油气
2018-11-26,sh.600760,中航沈飞
2018-11-26,sh.600765,中航重机
2018-11-26,sh.600770,综艺股份
2018-11-26,sh.600773,西藏城投
2018-11-26,sh.600777,新潮能源
2018-11-26,sh.600787,中储股份
2018-11-26,sh.600801,华新水泥
2018-11-26,sh.600808,马钢股份
2018-11-26,sh.600811,东方集团
2018-11-26,sh.600823,世茂股份
2018-11-26,sh.600827,百联股份
2018-11-26,sh.600835,上海机电
2018-11-26,sh.600839,四川长虹
2018-11-26,sh.600848,上海临港
2018-11-26,sh.600859,王府井
2018-11-26,sh.600862,中航高科
2018-11-26,sh.600863,内蒙华电
2018-11-26,sh.600869,智慧能源
2018-11-26,sh.600872,中炬高新
2018-11-26,sh.600874,创业环保
2018-11-26,sh.600875,东方电气
2018-11-26,sh.600879,航天电子
2018-11-26,sh.600881,亚泰集团
2018-11-26,sh.600884,杉杉股份
2018-11-26,sh.600885,宏发股份
2018-11-26,sh.600895,张江高科
2018-11-26,sh.600908,无锡银行
2018-11-26,sh.600917,重庆燃气
