20天
股票代码,股票简称,起始时间,终止时间,起始价,终止价,区间涨跌幅
'688419,耐科装备,20221227,20230201,33.54,36.4,8.53%
'001223,欧克科技,20221227,20230201,57.4,83.86,46.10%
'002531,天顺风能,20221101,20221129,12.49,13.86,10.97%
'002026,山东威达,20220505,20220602,9.29,11.11,19.59%
'605305,中际联合,20220505,20220602,30.47,45.15,48.18%
'688049,炬芯科技,20220429,20220601,30.0,34.2,14.00%
'300933,中辰股份,20220429,20220601,6.9,7.82,13.33%
'688182,灿勤科技,20220429,20220601,11.52,13.77,19.53%
'300162,雷曼光电,20220429,20220601,6.0,6.89,14.83%
'300781,因赛集团,20220429,20220601,15.49,18.34,18.40%
'001210,金房能源,20220429,20220601,22.53,25.25,12.07%
'300219,鸿利智汇,20220429,20220601,7.07,7.99,13.01%
'603890,春秋电子,20220429,20220601,8.0,9.05,13.13%
'002791,坚朗五金,20220429,20220601,77.68,92.35,18.89%
'002782,可立克,20220428,20220531,8.79,15.49,76.22%
'603730,岱美股份,20220428,20220531,10.8,14.31,32.50%
'300938,信测标准,20211102,20211130,41.05,52.11,26.94%
'601100,恒立液压,20210513,20210610,77.01,79.53,3.27%
'002567,唐人神,20200206,20200305,7.22,9.37,29.78%
'002668,奥马电器,20190211,20190311,3.55,7.12,100.56%
'600122,*ST宏图,20190201,20190308,3.15,4.94,56.83%
'600711,盛屯矿业,20181022,20181119,4.98,5.62,12.85%
'002430,杭氧股份,20181022,20181119,9.9,11.36,14.75%
'002357,富临运业,20181022,20181119,5.42,7.0,29.15%
'300613,富瀚微,20181022,20181119,89.5,108.37,21.08%
'300100,双林股份,20181019,20181116,7.69,10.46,36.02%
'300490,华自科技,20181017,20181114,9.66,10.75,11.28%
'600295,鄂尔多斯,20180625,20180723,8.78,9.25,5.35%
