20天
股票代码,股票简称,买入时间,卖出时间,买入价,卖出价,单次收益率
'603326,我乐家居,20240220,持仓,6.22,7.51,20.74%
'301517,陕西华达,20240219,持仓,34.57,50.1,44.92%
'301225,恒勃股份,20240219,持仓,22.84,29.9,30.91%
'001358,兴欣新材,20240219,持仓,27.88,33.93,21.70%
'301559,中集环科,20240208,持仓,15.18,16.95,11.66%
'301239,普瑞眼科,20240208,持仓,60.61,67.47,11.32%
'603208,江山欧派,20240208,持仓,23.54,27.41,16.44%
'603486,科沃斯,20240207,持仓,30.82,37.44,21.48%
'002812,恩捷股份,20240207,持仓,41.48,45.25,9.09%
'300347,泰格医药,20240207,持仓,42.8,44.8,4.67%
'002531,天顺风能,20221102,20221129,12.44,13.86,11.41%
'002026,山东威达,20220506,20220602,9.08,11.11,22.36%
'605305,中际联合,20220506,20220525,29.03,40.49,39.48%
'688662,富信科技,20220506,20220525,22.53,27.54,22.24%
'002791,坚朗五金,20220505,20220601,78.71,92.35,17.33%
'688049,炬芯科技,20220505,20220601,30.0,34.2,14.00%
'603890,春秋电子,20220505,20220601,7.98,9.05,13.41%
'300115,长盈精密,20220429,20220608,7.4,9.54,28.92%
'002782,可立克,20220429,20220610,8.82,15.39,74.49%
'603730,岱美股份,20220429,20220525,10.84,13.02,20.11%
'300938,信测标准,20211103,20211130,41.34,52.11,26.05%
'601100,恒立液压,20210514,20210610,77.68,79.53,2.38%
'300362,天翔退,20200207,20200305,2.15,2.22,3.26%
'002746,仙坛股份,20200207,20200305,13.04,16.04,23.01%
'002567,唐人神,20200207,20200305,7.22,9.37,29.78%
'002512,达华智能,20190212,20190308,4.07,6.66,63.64%
'002668,奥马电器,20190212,20190221,3.56,4.47,25.56%
'600122,*ST宏图,20190211,20190313,3.18,4.93,55.03%
