30天
股票代码,股票简称,买入时间,卖出时间,买入价,卖出价,单次收益率
'601225,陕西煤业,20240118,持仓,22.81,26.0,13.99%
'601225,陕西煤业,20231206,20240117,19.6,22.82,16.43%
'601225,陕西煤业,20231025,20231205,18.29,19.63,7.33%
'601225,陕西煤业,20230905,20231024,18.1,18.14,0.22%
'601225,陕西煤业,20230725,20230904,16.3,18.14,11.29%
'002466,天齐锂业,20230619,20230724,72.79,64.78,-11.00%
'002466,天齐锂业,20230508,20230616,72.5,76.02,4.86%
'601225,陕西煤业,20230321,20230505,18.88,19.82,4.98%
'601225,陕西煤业,20230207,20230320,19.2,18.81,-2.03%
'002415,海康威视,20221219,20230206,34.97,36.52,4.43%
'002415,海康威视,20221107,20221216,29.81,34.34,15.20%
'002415,海康威视,20220919,20221104,29.51,30.02,1.73%
'601225,陕西煤业,20220729,20220916,19.47,23.59,21.16%
'601225,陕西煤业,20220617,20220728,19.09,19.47,1.99%
'601225,陕西煤业,20220427,20220616,15.3,20.39,33.27%
'601225,陕西煤业,20220419,20220426,17.1,15.22,-10.99%
'601225,陕西煤业,20220317,20220415,13.9,17.35,24.82%
'601225,陕西煤业,20220127,20220316,12.9,13.81,7.05%
'601225,陕西煤业,20211215,20220126,12.58,12.81,1.83%
'002475,立讯精密,20211103,20211214,40.0,46.35,15.88%
'002475,立讯精密,20210913,20211102,36.0,39.78,10.50%
'601225,陕西煤业,20210827,20210910,11.51,15.15,31.62%
'601225,陕西煤业,20210716,20210826,11.14,11.89,6.73%
'601225,陕西煤业,20210603,20210715,11.29,11.14,-1.33%
'601225,陕西煤业,20210419,20210602,11.4,12.02,5.44%
'601225,陕西煤业,20210305,20210416,11.24,11.35,0.98%
'601225,陕西煤业,20210115,20210304,10.2,11.59,13.63%
'002415,海康威视,20201216,20210114,46.35,57.24,23.50%
'601225,陕西煤业,20201130,20201215,10.55,9.39,-11.00%
'002415,海康威视,20201019,20201127,38.75,47.0,21.29%
'002415,海康威视,20200828,20201016,37.05,38.48,3.86%
'002415,海康威视,20200717,20200827,34.79,36.99,6.32%
'002475,立讯精密,20200602,20200716,36.82,56.84,54.37%
'603288,海天味业,20200416,20200601,103.33,116.44,12.69%
'603288,海天味业,20200324,20200408,102.38,126.37,23.43%
'002475,立讯精密,20200204,20200317,41.58,37.01,-10.99%
'002475,立讯精密,20191225,20200123,35.35,44.2,25.04%
'603288,海天味业,20191113,20191224,113.73,106.0,-6.80%
'002475,立讯精密,20190926,20191112,26.74,33.15,23.97%
'002475,立讯精密,20190814,20190925,22.76,26.54,16.61%
'002415,海康威视,20190703,20190813,29.05,28.96,-0.31%
'603288,海天味业,20190521,20190702,94.0,107.57,14.44%
'603288,海天味业,20190403,20190520,84.16,93.0,10.50%
'603288,海天味业,20190220,20190402,76.7,85.15,11.02%
'603288,海天味业,20190102,20190219,68.19,75.89,11.29%
