20天
股票代码,股票简称,买入时间,卖出时间,买入价,卖出价,单次收益率
'301276,嘉曼服饰,20240219,持仓,18.42,20.46,11.07%
'002483,润邦股份,20240219,持仓,4.0,4.43,10.75%
'603093,南华期货,20240219,持仓,9.74,10.9,11.91%
'002706,良信股份,20240207,持仓,6.61,7.72,16.79%
'002812,恩捷股份,20240207,持仓,41.48,45.25,9.09%
'300347,泰格医药,20240207,持仓,42.8,44.8,4.67%
'301509,金凯生科,20240126,20240221,53.26,63.5,19.23%
'001358,兴欣新材,20240126,20240131,38.31,33.71,-12.01%
'301507,民生健康,20231025,20231121,18.01,20.09,11.55%
'688659,元琛科技,20230427,20230518,11.51,13.08,13.64%
'002791,坚朗五金,20220505,20220601,78.71,92.35,17.33%
'300933,中辰股份,20220505,20220601,6.91,7.82,13.17%
'300781,因赛集团,20220505,20220518,15.45,19.22,24.40%
'001210,金房能源,20220318,20220418,25.7,25.15,-2.14%
'300660,江苏雷利,20220318,20220411,21.3,18.74,-12.02%
'605178,时空科技,20220317,20220415,23.82,26.11,9.61%
'688628,优利德,20211102,20211129,24.52,26.83,9.42%
'002614,奥佳华,20211102,20211129,11.3,12.15,7.52%
'300492,华图山鼎,20210802,20210817,40.9,53.74,31.39%
'300362,天翔退,20200206,20200304,2.28,2.18,-4.39%
'300210,森远股份,20200206,20200304,3.11,3.33,7.07%
'600681,百川能源,20200206,20200304,5.77,5.68,-1.56%
'600594,益佰制药,20190212,20190313,5.04,6.53,29.56%
'600122,*ST宏图,20190211,20190313,3.18,4.93,55.03%
