20天
股票代码,股票简称,买入时间,卖出时间,买入价,卖出价,单次收益率
'002183,怡亚通,20240208,持仓,3.69,4.08,10.57%
'301265,华新环保,20240126,20240130,9.73,9.19,-5.55%
'300208,青岛中程,20240126,20240130,6.11,5.77,-5.56%
'301321,翰博高新,20221103,20221117,19.99,23.34,16.76%
'300741,华宝股份,20221014,20221110,22.97,24.88,8.32%
'301330,熵基科技,20221013,20221101,31.37,37.75,20.34%
'688292,浩瀚深度,20221013,20221101,13.9,16.84,21.15%
'300908,仲景食品,20220602,20220630,34.33,37.63,9.61%
'688219,会通股份,20220505,20220601,8.3,9.42,13.49%
'301008,宏昌科技,20220321,20220413,36.0,34.02,-5.50%
'000671,ST阳光城,20220318,20220325,2.4,3.7,54.17%
'300968,格林精密,20211104,20211201,12.79,14.19,10.95%
'301052,果麦文化,20211104,20211116,26.75,32.2,20.37%
'301065,本立科技,20211102,20211111,43.42,56.59,30.33%
'300868,杰美特,20211101,20211126,23.58,25.92,9.92%
'300879,大叶股份,20210803,20210830,21.88,21.2,-3.11%
'301001,凯淳股份,20210729,20210825,31.3,34.66,10.73%
'688159,有方科技,20210512,20210603,21.0,28.62,36.29%
'600516,方大炭素,20201029,20201125,6.17,6.9,11.83%
'002836,新宏泽,20190215,20190307,11.64,14.41,23.80%
