20天
股票代码,股票简称,买入时间,卖出时间,买入价,卖出价,单次收益率
'600702,舍得酒业,20240219,持仓,77.2,82.6,6.99%
'000957,中通客车,20240219,持仓,6.78,8.53,25.81%
'002812,恩捷股份,20240207,持仓,41.48,45.25,9.09%
'002815,崇达技术,20240207,持仓,7.05,8.64,22.55%
'301251,威尔高,20231025,20231121,39.53,41.26,4.38%
'600185,格力地产,20230721,20230817,6.06,6.41,5.78%
'002967,广电计量,20220505,20220601,15.42,18.21,18.09%
'002791,坚朗五金,20220505,20220601,78.71,92.35,17.33%
'605259,绿田机械,20220429,20220531,25.4,27.17,6.97%
'301023,江南奕帆,20220428,20220530,54.1,59.37,9.74%
'301065,本立科技,20211102,20211112,43.42,54.81,26.23%
'002537,海联金汇,20200210,20200306,6.15,6.73,9.43%
'002668,奥马电器,20190212,20190221,3.56,4.47,25.56%
'600122,*ST宏图,20190211,20190313,3.18,4.93,55.03%
'002617,露笑科技,20190131,20190308,3.22,4.64,44.10%
