20天
股票代码,股票简称,买入时间,卖出时间,买入价,卖出价,单次收益率
'605068,明新旭腾,20220715,20220802,23.25,30.21,29.94%
'002607,中公教育,20220505,20220601,4.58,5.08,10.92%
'300970,华绿生物,20211102,20211129,27.0,29.54,9.41%
'300670,大烨智能,20210903,20211011,9.35,10.04,7.38%
'300265,通光线缆,20210903,20211011,11.36,10.56,-7.04%
'002781,奇信退,20210802,20210827,6.96,7.06,1.44%
'002470,金正大,20200207,20200305,2.43,2.79,14.81%
'603396,金辰股份,20200206,20200214,21.8,26.06,19.54%
'300049,福瑞股份,20200206,20200304,7.52,8.34,10.90%
'300176,派生科技,20200206,20200304,7.71,8.24,6.87%
'300083,创世纪,20190201,20190220,2.55,3.35,31.37%
'300115,长盈精密,20190201,20190227,7.6,11.89,56.45%
