10天
股票代码,股票简称,起始时间,终止时间,起始价,终止价,区间涨跌幅
'603444,吉比特,20231228,20240112,241.68,217.0,-10.21%
'301251,威尔高,20231024,20231107,39.54,41.8,5.72%
'600185,格力地产,20230720,20230803,6.1,7.06,15.74%
'002967,广电计量,20220429,20220518,15.3,16.08,5.10%
'002791,坚朗五金,20220429,20220518,77.68,85.9,10.58%
'605259,绿田机械,20220428,20220517,25.5,26.3,3.14%
'301023,江南奕帆,20220427,20220516,54.59,59.98,9.87%
'301065,本立科技,20211101,20211115,43.12,62.01,43.81%
'002537,海联金汇,20200207,20200221,6.18,7.04,13.92%
'002668,奥马电器,20190211,20190225,3.55,5.37,51.27%
'600122,*ST宏图,20190201,20190222,3.15,3.92,24.44%
'002617,露笑科技,20190130,20190220,3.26,4.14,26.99%
