10天
股票代码,股票简称,起始时间,终止时间,起始价,终止价,区间涨跌幅
'301507,民生健康,20231024,20231107,17.94,19.06,6.24%
'688659,元琛科技,20230426,20230515,11.41,14.02,22.87%
'300933,中辰股份,20220429,20220518,6.93,7.61,9.81%
'688088,虹软科技,20220429,20220518,22.65,23.45,3.53%
'603988,中电电机,20220429,20220518,8.35,9.13,9.34%
'002860,星帅尔,20220429,20220518,13.28,14.36,8.13%
'688095,福昕软件,20220429,20220518,88.01,87.1,-1.03%
'300420,五洋停车,20220429,20220518,2.5,2.61,4.40%
'301086,鸿富瀚,20220429,20220518,51.46,55.31,7.48%
'688029,南微医学,20220429,20220518,97.52,91.78,-5.89%
'002791,坚朗五金,20220429,20220518,77.68,85.9,10.58%
'300781,因赛集团,20220429,20220518,15.49,18.51,19.50%
'300660,江苏雷利,20220317,20220331,21.29,20.62,-3.15%
'001210,金房能源,20220317,20220331,25.7,27.44,6.77%
'605178,时空科技,20220316,20220330,23.82,24.56,3.11%
'688628,优利德,20211101,20211115,24.31,26.48,8.93%
'002614,奥佳华,20211101,20211115,11.23,11.98,6.68%
'300492,华图山鼎,20210730,20210813,40.85,49.76,21.81%
'600681,百川能源,20200205,20200219,5.76,5.96,3.47%
'300362,天翔退,20200205,20200219,2.2,2.4,9.09%
'300210,森远股份,20200205,20200219,2.9,3.01,3.79%
'600594,益佰制药,20190211,20190225,5.06,5.9,16.60%
'600122,*ST宏图,20190201,20190222,3.15,3.92,24.44%
