30天
股票代码,股票简称,买入时间,卖出时间,买入价,卖出价,单次收益率
'301022,海泰科,20221226,持仓,26.52,29.93,12.86%
'600883,博闻科技,20221114,20221223,7.55,7.29,-3.44%
'003041,真爱美家,20220926,20221111,16.4,16.61,1.28%
'001209,洪兴股份,20220812,20220923,15.25,17.22,12.92%
'002357,富临运业,20220701,20220811,5.96,5.93,-0.50%
'003033,征和工业,20220519,20220630,22.83,26.8,17.39%
'002144,宏达高科,20220331,20220518,10.53,8.68,-17.57%
'002787,华源控股,20220217,20220330,6.2,6.0,-3.23%
'002849,威星智能,20211229,20220216,12.69,15.27,20.33%
'000715,中兴商业,20211117,20211228,4.58,5.01,9.39%
'002731,萃华珠宝,20210922,20211116,6.17,8.32,34.85%
'603037,凯众股份,20210809,20210917,15.87,17.4,9.64%
'000715,中兴商业,20210628,20210806,4.7,4.53,-3.62%
'000573,粤宏远A,20210514,20210625,2.94,3.11,5.78%
'002576,通达动力,20210329,20210513,11.85,10.54,-11.05%
'002144,宏达高科,20210208,20210326,8.56,9.19,7.36%
'002576,通达动力,20210105,20210205,11.88,9.15,-22.98%
'603006,联明股份,20201123,20210104,10.35,13.0,25.60%
'603917,合力科技,20201012,20201120,12.3,11.59,-5.77%
'603356,华菱精工,20200821,20201009,13.4,12.47,-6.94%
'002144,宏达高科,20200706,20200814,9.23,11.4,23.51%
'603041,美思德,20200521,20200703,12.56,14.57,16.00%
'002295,精艺股份,20200403,20200520,6.42,6.62,3.12%
'000978,桂林旅游,20200221,20200402,4.94,4.58,-7.29%
'000668,荣丰控股,20200102,20200220,13.41,12.32,-8.13%
'002144,宏达高科,20191120,20191231,9.55,9.99,4.61%
'002295,精艺股份,20191009,20191119,7.73,7.2,-6.86%
'000573,粤宏远A,20190820,20191008,2.96,2.85,-3.72%
'600051,宁波联合,20190709,20190819,6.13,5.96,-2.77%
'603926,铁流股份,20190527,20190708,12.04,12.25,1.74%
'603038,华立股份,20190327,20190513,19.88,19.57,-1.56%
'000715,中兴商业,20190124,20190322,6.42,9.4,46.42%
'300040,九洲集团,20181211,20190123,5.31,5.7,7.34%
'002360,同德化工,20181030,20181210,5.01,5.75,14.77%
'002687,乔治白,20180910,20181029,5.12,5.98,16.80%
'600218,全柴动力,20180730,20180907,5.22,5.61,7.47%
'600719,ST热电,20180615,20180727,4.83,4.47,-7.45%
'600889,南京化纤,20180212,20180330,6.16,6.92,12.34%
