10天
股票代码,股票简称,买入时间,卖出时间,买入价,卖出价,单次收益率
'002157,正邦科技,20221103,20221219,3.83,4.24,10.70%
'000961,中南建设,20220719,20220802,2.69,2.72,1.12%
'002782,可立克,20220429,20220610,8.82,15.39,74.49%
'001210,金房节能,20220311,20220324,27.51,27.99,1.74%
'600095,湘财股份,20211026,20211108,8.72,9.05,3.78%
'605122,四方新材,20210803,20210816,21.47,22.4,4.33%
'601696,中银证券,20210430,20210518,15.65,15.4,-1.60%
'002602,世纪华通,20201228,20210111,6.88,6.94,0.87%
'603186,华正新材,20201028,20201117,32.81,33.16,1.07%
'000863,三湘印象,20200206,20200219,3.98,4.12,3.52%
'002358,ST森源,20190808,20190821,7.79,8.23,5.65%
'002617,露笑科技,20190131,20190308,3.22,4.64,44.10%
'000049,德赛电池,20181016,20181126,21.91,28.24,28.89%
'000018,神城A退,20180905,20180918,2.78,2.58,-7.19%
'002400,省广集团,20180625,20180706,3.1,3.35,8.06%
'002684,猛狮退,20180309,20180320,13.88,14.49,4.39%
'300430,诚益通,20180206,20180226,16.55,16.93,2.30%
