5天
股票代码,股票简称,买入时间,卖出时间,买入价,卖出价,单次收益率
'002157,正邦科技,20221103,20221109,3.83,3.89,1.57%
'000961,中南建设,20220719,20220722,2.69,2.56,-4.83%
'002979,雷赛智能,20220505,20220512,14.81,15.96,7.77%
'002782,可立克,20220429,20220510,8.82,9.45,7.14%
'001210,金房节能,20220318,20220322,25.7,30.28,17.82%
'300792,壹网壹创,20220317,20220323,34.03,34.64,1.79%
'001210,金房节能,20220311,20220315,27.51,26.13,-5.02%
'300938,信测标准,20211103,20211109,41.34,41.38,0.10%
'002614,奥佳华,20211102,20211108,11.3,11.34,0.35%
'600095,湘财股份,20211026,20211101,8.72,9.1,4.36%
'605122,四方新材,20210803,20210809,21.47,22.36,4.15%
'300578,会畅通讯,20210513,20210514,23.84,25.4,6.54%
'601696,中银证券,20210430,20210507,15.65,14.87,-4.98%
'000620,新华联,20210111,20210112,2.15,2.04,-5.12%
'000620,新华联,20210106,20210107,2.29,2.18,-4.80%
'002602,世纪华通,20201228,20210104,6.88,7.08,2.91%
'600640,国脉文化,20201104,20201110,13.85,15.0,8.30%
'603186,华正新材,20201028,20201030,32.81,31.17,-5.00%
'002746,仙坛股份,20200207,20200213,13.04,13.72,5.21%
'000863,三湘印象,20200206,20200212,3.98,4.07,2.26%
'000056,皇庭国际,20190809,20190815,3.59,3.41,-5.01%
'002358,ST森源,20190808,20190814,7.79,8.1,3.98%
'600122,ST宏图,20190211,20190218,3.18,3.43,7.86%
'002617,露笑科技,20190131,20190212,3.22,3.59,11.49%
'000571,ST大洲,20181024,20181030,2.65,2.69,1.51%
'300441,鲍斯股份,20181019,20181025,6.22,6.27,0.80%
'300521,爱司凯,20181017,20181018,8.28,7.87,-4.95%
'000049,德赛电池,20181016,20181023,21.91,24.95,13.87%
'000018,神城A退,20180905,20180906,2.78,2.9,4.32%
'000727,冠捷科技,20180626,20180702,1.83,1.89,3.28%
'002400,省广集团,20180625,20180629,3.1,3.23,4.19%
'002684,猛狮退,20180309,20180314,13.88,15.26,9.94%
'002074,国轩高科,20180209,20180213,18.0,19.76,9.78%
'300249,依米康,20180208,20180214,6.06,6.14,1.32%
'300430,诚益通,20180206,20180207,16.55,15.72,-5.02%
