7天
股票代码,股票简称,起始时间,终止时间,起始价,终止价,区间涨跌幅
'000056,皇庭国际,20190808,20190819,3.57,3.80,6.44%
'002358,ST森源,20190807,20190816,7.77,8.44,8.62%
'002853,皮阿诺,20190807,20190816,16.41,16.36,-0.30%
'600084,中葡股份,20190212,20190221,2.76,2.93,6.16%
'600594,益佰制药,20190211,20190220,5.06,5.54,9.49%
'300241,瑞丰光电,20190129,20190214,4.42,4.56,3.17%
'300174,元力股份,20181026,20181106,12.88,12.98,0.78%
'000930,中粮科技,20181023,20181101,8.21,8.16,-0.61%
'000571,ST大洲,20181023,20181101,2.65,2.71,2.26%
'300355,蒙草生态,20181022,20181031,3.94,4.00,1.52%
'002430,杭氧股份,20181022,20181031,9.90,10.21,3.13%
'002505,鹏都农牧,20181022,20181031,1.29,1.38,6.98%
'300123,亚光科技,20181022,20181031,8.28,8.10,-2.17%
'300181,佐力药业,20181022,20181031,3.70,3.81,2.97%
'300183,东软载波,20181022,20181031,10.98,10.69,-2.64%
'002357,富临运业,20181022,20181031,5.42,5.58,2.95%
'300480,光力科技,20181022,20181031,9.00,9.88,9.78%
'600313,农发种业,20181022,20181031,2.15,2.23,3.72%
'600371,万向德农,20181022,20181031,5.66,6.05,6.89%
'600595,中孚实业,20181022,20181031,2.03,2.10,3.45%
'600686,金龙汽车,20181022,20181031,8.09,7.67,-5.19%
'600721,百花医药,20181022,20181031,4.87,4.97,2.05%
'002378,章源钨业,20181022,20181031,4.88,5.09,4.30%
'002164,宁波东力,20181022,20181031,2.68,2.77,3.36%
'002143,印纪退,20181022,20181031,2.89,2.85,-1.38%
'000969,安泰科技,20181022,20181031,4.37,4.54,3.89%
'000927,中国铁物,20181022,20181031,2.66,3.57,34.21%
'000917,电广传媒,20181022,20181031,4.08,4.17,2.21%
'000727,冠捷科技,20181022,20181031,1.31,1.39,6.11%
'000572,海马汽车,20181022,20181031,2.15,2.23,3.72%
'000426,兴业矿业,20181022,20181031,4.72,5.23,10.81%
'002289,宇顺电子,20181019,20181030,4.78,5.27,10.25%
'002805,丰元股份,20181019,20181030,13.56,14.10,3.98%
'002802,洪汇新材,20181019,20181030,18.17,18.29,0.66%
'002346,柘中股份,20181019,20181030,8.80,8.92,1.36%
'000592,平潭发展,20181019,20181030,2.15,2.28,6.05%
'002264,新华都,20181019,20181030,5.43,6.00,10.50%
'002137,实益达,20181019,20181030,5.72,5.87,2.62%
'000892,欢瑞世纪,20181019,20181030,3.60,3.81,5.83%
'300385,雪浪环境,20181019,20181030,12.90,13.42,4.03%
'300100,双林股份,20181019,20181030,7.69,8.02,4.29%
'300557,理工光科,20181019,20181030,21.40,21.64,1.12%
'300437,清水源,20181019,20181030,12.02,12.16,1.16%
'300490,华自科技,20181019,20181030,9.33,9.70,3.97%
'600599,ST熊猫,20181019,20181030,8.58,10.35,20.63%
'600936,广西广电,20181019,20181030,3.62,3.82,5.52%
'601108,财通证券,20181019,20181030,6.93,7.50,8.23%
'601198,东兴证券,20181019,20181030,8.47,10.41,22.90%
'601678,滨化股份,20181019,20181030,4.14,4.33,4.59%
'603218,日月股份,20181019,20181030,12.10,13.20,9.09%
'603963,大理药业,20181019,20181030,12.44,12.33,-0.88%
'600260,*ST凯乐,20181018,20181029,15.83,17.15,8.34%
'300058,蓝色光标,20181017,20181026,4.07,4.32,6.14%
'000670,盈方微,20181017,20181026,3.07,3.07,0.00%
'002131,利欧股份,20181017,20181026,1.58,1.61,1.90%
'300246,宝莱特,20181017,20181026,10.79,11.02,2.13%
'603738,泰晶科技,20181017,20181026,11.69,11.99,2.57%
'601881,中国银河,20181017,20181026,6.07,6.88,13.34%
'600293,三峡新材,20181016,20181025,3.92,3.96,1.02%
'300521,爱司凯,20181016,20181025,8.16,8.54,4.66%
'300061,旗天科技,20181016,20181025,5.46,6.01,10.07%
'002004,华邦健康,20181015,20181024,4.41,4.53,2.72%
'002805,丰元股份,20181015,20181024,14.91,14.30,-4.09%
'000049,德赛电池,20181015,20181024,22.35,24.15,8.05%
'002290,禾盛新材,20181015,20181024,7.66,8.43,10.05%
'002756,永兴材料,20181015,20181024,12.15,12.57,3.46%
'002596,海南瑞泽,20181015,20181024,6.19,6.09,-1.62%
'002870,香山股份,20181015,20181024,13.60,14.28,5.00%
'300468,四方精创,20181015,20181024,12.30,14.05,14.23%
'300693,盛弘股份,20181015,20181024,13.90,15.05,8.27%
'603601,再升科技,20181015,20181024,6.01,6.57,9.32%
'603912,佳力图,20181015,20181024,11.52,11.46,-0.52%
'603238,诺邦股份,20181012,20181023,14.02,14.79,5.49%
'603030,全筑股份,20181012,20181023,5.16,4.74,-8.14%
'300617,安靠智电,20181012,20181023,18.94,18.97,0.16%
'002379,宏创控股,20181012,20181023,2.75,2.88,4.73%
'603399,吉翔股份,20180914,20180926,11.04,12.81,16.03%
'000018,神城A退,20180904,20180913,2.77,2.79,0.72%
'002522,浙江众成,20180823,20180903,5.07,4.80,-5.33%
'002314,南山控股,20180809,20180820,3.31,3.23,-2.42%
'600614,退市鹏起,20180627,20180706,5.66,5.41,-4.42%
'600187,国中水务,20180627,20180706,2.85,2.73,-4.21%
'000536,华映科技,20180626,20180705,2.73,2.61,-4.40%
'000725,京东方A,20180626,20180705,3.46,3.30,-4.62%
'000800,一汽解放,20180626,20180705,7.27,6.94,-4.54%
'000727,冠捷科技,20180625,20180704,1.85,1.89,2.16%
'002662,京威股份,20180625,20180704,3.31,3.88,17.22%
'600651,飞乐音响,20180625,20180704,3.73,3.87,3.75%
'300221,银禧科技,20180625,20180704,9.32,9.75,4.61%
'600268,国电南自,20180622,20180703,4.12,4.36,5.83%
'600166,福田汽车,20180622,20180703,1.91,2.00,4.71%
'002694,顾地科技,20180622,20180703,4.69,5.35,14.07%
'002676,顺威股份,20180622,20180703,3.04,3.20,5.26%
'002663,普邦股份,20180622,20180703,2.89,2.94,1.73%
'002400,省广集团,20180622,20180703,3.09,3.40,10.03%
'600444,国机通用,20180620,20180629,11.33,11.53,1.77%
'002503,搜于特,20180620,20180629,3.49,3.50,0.29%
'002114,罗平锌电,20180615,20180627,11.98,9.27,-22.62%
'002694,顾地科技,20180614,20180626,5.43,4.90,-9.76%
'300110,华仁药业,20180604,20180613,4.67,4.53,-3.00%
'300337,银邦股份,20180510,20180521,6.51,6.27,-3.69%
'603667,五洲新春,20180503,20180514,20.08,19.84,-1.20%
'600025,华能水电,20180327,20180409,3.81,3.60,-5.51%
'002197,证通电子,20180327,20180409,9.87,10.15,2.84%
'002724,海洋王,20180214,20180302,7.48,7.97,6.55%
'002338,奥普光电,20180214,20180302,10.31,12.03,16.68%
'600647,同达创业,20180213,20180301,13.69,14.66,7.09%
'300640,德艺文创,20180213,20180301,20.60,21.26,3.20%
'300351,永贵电器,20180212,20180228,11.79,12.45,5.60%
'002224,三力士,20180212,20180228,7.00,7.63,9.00%
'002253,川大智胜,20180212,20180228,15.68,16.65,6.19%
'300246,宝莱特,20180212,20180228,15.76,17.07,8.31%
'300062,中能电气,20180212,20180228,5.46,5.82,6.59%
'300557,理工光科,20180212,20180228,30.90,32.15,4.05%
'600843,上工申贝,20180212,20180228,8.94,9.50,6.26%
'603656,泰禾智能,20180212,20180228,24.18,25.66,6.12%
'603768,常青股份,20180212,20180228,15.05,15.47,2.79%
'600391,航发科技,20180212,20180228,14.93,17.93,20.09%
'002731,萃华珠宝,20180209,20180227,13.88,14.59,5.12%
'002420,毅昌科技,20180209,20180227,4.25,4.38,3.06%
'000628,高新发展,20180209,20180227,6.90,7.46,8.12%
'002528,英飞拓,20180208,20180226,4.30,4.47,3.95%
'000009,中国宝安,20180208,20180226,5.82,5.94,2.06%
'000760,斯太退,20180208,20180226,4.65,4.72,1.51%
'002395,双象股份,20180208,20180226,9.99,10.42,4.30%
'000045,深纺织A,20180208,20180226,7.57,7.90,4.36%
'002552,宝鼎科技,20180208,20180226,8.26,8.27,0.12%
'300028,金亚退,20180208,20180226,4.03,4.17,3.47%
'300611,美力科技,20180208,20180226,11.23,11.44,1.87%
'002643,万润股份,20180208,20180226,9.51,10.40,9.36%
'300249,依米康,20180207,20180223,6.06,6.15,1.49%
'002570,贝因美,20180207,20180223,5.04,5.22,3.57%
'000544,中原环保,20180206,20180222,12.77,12.92,1.17%
'000816,智慧农业,20180205,20180214,2.59,3.96,52.90%
'601238,广汽集团,20180205,20180214,22.02,21.06,-4.36%
'300507,苏奥传感,20171208,20171219,29.04,28.45,-2.03%
'603555,贵人鸟,20171127,20171206,18.06,17.88,-1.00%
'300449,汉邦高科,20170605,20170614,21.93,25.35,15.60%
'300279,和晶科技,20170605,20170614,11.76,15.68,33.33%
'000502,绿景退,20170427,20170509,13.05,12.51,-4.14%
'300337,银邦股份,20170426,20170508,8.24,8.93,8.37%
'000892,欢瑞世纪,20170425,20170505,10.33,10.25,-0.77%
'000898,鞍钢股份,20150901,20150914,5.26,5.02,-4.56%
'600658,电子城,20150831,20150911,9.71,9.81,1.03%
'600208,新湖中宝,20150831,20150911,5.05,5.49,8.71%
'000983,山西焦煤,20150831,20150911,5.86,5.82,-0.68%
'601188,龙江交通,20150831,20150911,4.77,4.61,-3.35%
'601231,环旭电子,20150831,20150911,12.85,13.75,7.00%
