10天
股票代码,股票简称,起始时间,终止时间,起始价,终止价,区间涨跌幅
'002157,正邦科技,20221102,20221116,3.87,4.11,6.20%
'000961,中南建设,20220718,20220801,2.67,2.76,3.37%
'688737,中自科技,20220505,20220519,31.30,32.18,2.81%
'688622,禾信仪器,20220505,20220519,26.63,27.50,3.27%
'301033,迈普医学,20220505,20220519,34.12,35.55,4.19%
'300916,朗特智能,20220505,20220519,38.37,42.10,9.72%
'688049,炬芯科技,20220429,20220518,30.00,32.72,9.07%
'002979,雷赛智能,20220429,20220518,14.81,16.28,9.93%
'300420,五洋停车,20220429,20220518,2.50,2.61,4.40%
'300932,三友联众,20220429,20220518,20.75,22.51,8.48%
'300933,中辰股份,20220429,20220518,6.93,7.61,9.81%
'300222,科大智能,20220429,20220518,6.28,6.61,5.25%
'688088,虹软科技,20220429,20220518,22.65,23.45,3.53%
'688511,天微电子,20220429,20220518,31.73,33.13,4.41%
'688728,格科微,20220429,20220518,17.38,18.31,5.35%
'688788,科思科技,20220429,20220518,54.83,58.19,6.13%
'688386,泛亚微透,20220429,20220518,33.94,35.56,4.77%
'688056,莱伯泰科,20220428,20220517,30.00,31.20,4.00%
'605259,绿田机械,20220428,20220517,25.50,26.30,3.14%
'600071,凤凰光学,20220428,20220517,26.59,31.09,16.92%
'002782,可立克,20220428,20220517,8.79,10.02,13.99%
'301030,仕净科技,20220317,20220331,24.19,26.11,7.94%
'001210,金房节能,20220317,20220331,25.70,27.44,6.77%
'300614,百川畅银,20220317,20220331,34.54,31.71,-8.19%
'688216,气派科技,20220317,20220331,37.77,35.68,-5.53%
'603160,汇顶科技,20220317,20220331,77.86,70.90,-8.94%
'688211,中科微至,20220317,20220331,49.49,46.50,-6.04%
'605178,时空科技,20220316,20220330,23.82,24.56,3.11%
'601633,长城汽车,20220316,20220330,28.35,28.54,0.67%
'300792,壹网壹创,20220316,20220330,33.61,38.79,15.41%
'301088,戎美股份,20220310,20220324,20.13,19.19,-4.67%
'001210,金房节能,20220310,20220324,27.32,28.01,2.53%
'300938,信测标准,20211102,20211116,41.05,43.07,4.92%
'688575,亚辉龙,20211102,20211116,25.67,27.88,8.61%
'688229,博睿数据,20211102,20211116,50.01,53.95,7.88%
'688628,优利德,20211101,20211115,24.31,26.48,8.93%
'002614,奥佳华,20211101,20211115,11.23,11.98,6.68%
'600095,湘财股份,20211025,20211108,8.85,9.05,2.26%
'605122,四方新材,20210802,20210816,21.50,22.40,4.19%
'300578,会畅通讯,20210512,20210526,24.28,26.22,7.99%
'601696,中银证券,20210429,20210518,15.81,15.40,-2.59%
'300248,新开普,20210108,20210122,8.04,8.18,1.74%
'000620,新华联,20210108,20210122,2.16,2.23,3.24%
'000620,新华联,20210105,20210119,2.32,2.42,4.31%
'002602,世纪华通,20201225,20210111,6.94,6.94,0.00%
'688258,卓易信息,20201103,20201117,65.80,63.77,-3.09%
'600756,浪潮软件,20201103,20201117,15.86,15.76,-0.63%
'600640,国脉文化,20201103,20201117,13.67,14.37,5.12%
'603186,华正新材,20201027,20201110,32.90,35.31,7.33%
'600333,长春燃气,20200210,20200224,4.49,4.62,2.90%
'300622,博士眼镜,20200207,20200221,17.40,18.12,4.14%
'002769,普路通,20200207,20200221,7.47,8.05,7.76%
'603609,禾丰股份,20200206,20200220,10.54,11.90,12.90%
'601339,百隆东方,20200206,20200220,3.62,3.81,5.25%
'002746,仙坛股份,20200206,20200220,13.03,15.04,15.43%
'002840,华统股份,20200205,20200219,13.35,15.07,12.88%
'603566,普莱柯,20200205,20200219,16.63,16.70,0.42%
'600681,百川能源,20200205,20200219,5.76,5.96,3.47%
'002726,龙大美食,20200205,20200219,6.00,6.95,15.83%
'000863,三湘印象,20200205,20200219,3.99,4.12,3.26%
'000056,皇庭国际,20190808,20190822,3.57,4.70,31.65%
'002358,ST森源,20190807,20190821,7.77,8.23,5.92%
'600594,益佰制药,20190211,20190225,5.06,5.90,16.60%
'600122,ST宏图,20190201,20190222,3.15,3.92,24.44%
'002617,露笑科技,20190130,20190220,3.26,4.14,26.99%
'000571,ST大洲,20181023,20181106,2.65,2.77,4.53%
'601258,庞大集团,20181022,20181105,1.50,1.54,2.67%
'600686,金龙汽车,20181022,20181105,8.09,7.93,-1.98%
'000927,中国铁物,20181022,20181105,2.66,3.46,30.08%
'002432,九安医疗,20181022,20181105,4.91,5.27,7.33%
'000426,兴业矿业,20181022,20181105,4.72,5.28,11.86%
'000536,华映科技,20181022,20181105,1.92,2.06,7.29%
'000572,海马汽车,20181022,20181105,2.15,2.33,8.37%
'000917,电广传媒,20181022,20181105,4.08,4.77,16.91%
'600358,国旅联合,20181022,20181105,3.40,3.82,12.35%
'000969,安泰科技,20181022,20181105,4.37,4.62,5.72%
'002114,罗平锌电,20181022,20181105,6.60,7.13,8.03%
'002430,杭氧股份,20181022,20181105,9.90,10.94,10.51%
'002005,ST德豪,20181022,20181105,2.23,2.47,10.76%
'002908,德生科技,20181022,20181105,20.62,20.41,-1.02%
'300480,光力科技,20181022,20181105,9.00,10.11,12.33%
'300090,盛运退,20181022,20181105,2.34,2.51,7.26%
'600250,南纺股份,20181022,20181105,5.52,6.50,17.75%
'300613,富瀚微,20181022,20181105,89.50,91.30,2.01%
'600313,农发种业,20181022,20181105,2.15,2.27,5.58%
'300355,蒙草生态,20181022,20181105,3.94,4.36,10.66%
'300183,东软载波,20181022,20181105,10.98,11.35,3.37%
'300181,佐力药业,20181022,20181105,3.70,3.97,7.30%
'300123,亚光科技,20181022,20181105,8.28,8.71,5.19%
'603218,日月股份,20181019,20181102,12.10,13.97,15.45%
'601678,滨化股份,20181019,20181102,4.14,4.59,10.87%
'601198,东兴证券,20181019,20181102,8.47,10.38,22.55%
'300557,理工光科,20181019,20181102,21.40,23.27,8.74%
'300437,清水源,20181019,20181102,12.02,12.70,5.66%
'300385,雪浪环境,20181019,20181102,12.90,14.07,9.07%
'300100,双林股份,20181019,20181102,7.69,8.24,7.15%
'002805,丰元股份,20181019,20181102,13.56,14.91,9.96%
'000892,欢瑞世纪,20181019,20181102,3.60,4.25,18.06%
'300441,鲍斯股份,20181018,20181101,6.30,6.22,-1.27%
'601881,中国银河,20181017,20181031,6.07,7.35,21.09%
'002522,浙江众成,20181017,20181031,4.21,4.46,5.94%
'300058,蓝色光标,20181017,20181031,4.07,4.40,8.11%
'603189,网达软件,20181017,20181031,9.80,9.88,0.82%
'603738,泰晶科技,20181017,20181031,11.69,12.11,3.59%
'300521,爱司凯,20181016,20181030,8.16,8.66,6.13%
'603601,再升科技,20181015,20181029,6.01,6.69,11.31%
'600744,华银电力,20181015,20181029,2.40,2.43,1.25%
'300465,高伟达,20181015,20181029,5.97,6.71,12.40%
'002870,香山股份,20181015,20181029,13.60,14.45,6.25%
