20天
股票代码,股票简称,买入时间,卖出时间,买入价,卖出价,单次收益率
'002415,海康威视,20150623,20150707,39.0,34.32,-12.00%
'603288,海天味业,20150528,20150619,37.71,33.18,-12.01%
'002415,海康威视,20150429,20150527,31.86,50.2,57.56%
'002415,海康威视,20150331,20150428,28.35,31.9,12.52%
'601633,长城汽车,20150303,20150330,48.9,53.1,8.59%
'002415,海康威视,20150126,20150227,27.88,29.58,6.10%
'601633,长城汽车,20141225,20150123,37.0,44.1,19.19%
'601633,长城汽车,20141127,20141224,34.31,37.32,8.77%
'601633,长城汽车,20140409,20140428,36.2,31.86,-11.99%
'601633,长城汽车,20140211,20140224,38.2,33.62,-11.99%
'601633,长城汽车,20140102,20140114,41.2,36.26,-11.99%
